training;category;sub category;chapter;sub-chapter;item;type;order;duration;tags;link;description;additional_references;level of expertise;authors;number of views;number of like;uid;copyOf;labelPath1;Next1;Prev1;labelPath2;Next2;Prev2;labelPath3;Next3;Prev3
Expert Path;Advanced Secure Coding;SQL Injection;Countermeasures;;Video;video;76;01:32;Expert SQL injection countermeasure prepared statement input validation;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/03-AdvancedSecureCoding/3-2-SQL-Injection/SQL-Injection-Countermeasures.mp4;This lecture describes the countermeasures against  the SQL injection attack;;expert;Product Security Training;;;uid76;;;;;Expert Path;uid77;uid75;;;
Expert Path;Advanced Secure Coding;XSRF;Example 1;;Video;video;77;01:44;Expert XSRF Cross-Site Request forgery example;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/03-AdvancedSecureCoding/3-3-XSRF/XSRF-Example-1.mp4;This lecture provides an example of the Cross-Site Request Forgery (XSRF) attack;;expert;Product Security Training;;;uid77;;;;;Expert Path;uid78;uid76;;;
Expert Path;Advanced Secure Coding;XSRF;Example 2;;Video;video;78;00:49;Expert XSRF Cross-Site Request forgery example;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/03-AdvancedSecureCoding/3-3-XSRF/XSRF-Example-2.mp4;This lecture provides an example of the  Cross-Site Request Forgery (XSRF) attack;;expert;Product Security Training;;;uid78;;;;;Expert Path;uid79;uid77;;;
Expert Path;Advanced Secure Coding;XSRF;Countermeasure;;Video;video;79;03:45;Expert XSRF Cross-Site Request Forgery cookie html countermeasure;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/03-AdvancedSecureCoding/3-3-XSRF/XSRF-Countermeasure.mp4;This lecture describes the countermeasures against  the  Cross-Site Request Forgery (XSRF) attack;;expert;Product Security Training;;;uid79;;;;;Expert Path;uid80;uid78;;;
Expert Path;Advanced Secure Coding;XSRF;Impact;;Video;video;80;01:00;Expert XSRF Cross-Site Request forgery impact;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/03-AdvancedSecureCoding/3-3-XSRF/XSRF-Impact.mp4;This lecture describes the impact of the  Cross-Site Request Forgery (XSRF) attack;;expert;Product Security Training;;;uid80;;;;;Expert Path;uid81;uid79;;;
Expert Path;Advanced Secure Coding;XSRF;Quizzes;;Quizz 1;quizz;81;;XSRF Expert Secure Coding Quiz;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_6F90948F94D9DFA4;This is the 1st quiz on  Cross-Site Request Forgery (XSRF);;expert;Product Security Training;;;uid81;;;;;Expert Path;uid82;uid80;;;
Expert Path;Advanced Secure Coding;XSRF;Quizzes;;Quizz 2;quizz;82;;XSRF Expert Secure Coding Quiz;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_E1EAEC6CB85F7491;This is the 2nd quiz on  Cross-Site Request Forgery (XSRF);;expert;Product Security Training;;;uid82;;;;;Expert Path;uid83;uid81;;;
Expert Path;Advanced IAM;Data Privacy & Protection Expert;Strategy;;Video;video;83;00:44;Expert Data Privacy Protection Strategy;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/04-DataPrivacyExpert/01-DPP-SAPStrategy.mp4;This lecture describes the strategy in term of Data Privacy Protection (DPP);https://wiki.wdf.sap.corp/wiki/display/PSSEC/Privacy;expert;Williams;;;uid83;;;;;Expert Path;uid84;uid82;;;
Expert Path;Advanced IAM;Data Privacy & Protection Expert;EU Directives;;Video;video;84;00:50;Expert Data Privacy Protection EU Directives;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/04-DataPrivacyExpert/02-DPP-EUDirectives.mp4;This lecture describes the Eu directives in term of Data Privacy Protection (DPP);;expert;Williams;;;uid84;;;;;Expert Path;uid85;uid83;;;
Expert Path;Advanced IAM;Data Privacy & Protection Expert;Defining Personal Data;;Video;video;85;01:15;Expert Data Privacy Protection Personal;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/04-DataPrivacyExpert/03-DPP-DefiningPersonalData.mp4;This lecture provides a definition of personal data;;expert;Williams;;;uid85;;;;;Expert Path;uid86;uid84;;;
Expert Path;Advanced IAM;Data Privacy & Protection Expert;Principles;;Video;video;86;01:16;Expert Data Privacy Protection Principles overview;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/04-DataPrivacyExpert/03-DPP-Principles.mp4;This lecture describes the principles of Data Privacy Protection;;expert;Williams;;;uid86;;;;;Expert Path;uid87;uid85;;;
Expert Path;Advanced IAM;Data Privacy & Protection Expert;Free Movement of Data;;Video;video;87;01:05;Expert Data Privacy Protection Free Movement;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/04-DataPrivacyExpert/04-DPP-FreeMovementofData.mp4;This lecture is about the free movement of data;;expert;Williams;;;uid87;;;;;Expert Path;uid88;uid86;;;
Expert Path;Advanced IAM;Data Privacy & Protection Expert;Processing Personal Data;;Video;video;88;00:56;Expert Data Privacy Protection Personal ;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/04-DataPrivacyExpert/06-DPP-ProcessingPersonalData.mp4;This lecture is about the processing of personal data;;expert;Williams;;;uid88;;;;;Expert Path;uid89;uid87;;;
Expert Path;Advanced IAM;Data Privacy & Protection Expert;Organizational Measures;;Video;video;89;02:23;Expert Data Privacy Protection Measures;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/04-DataPrivacyExpert/07-DPP-OrganizationalMeasures.mp4;This lecture describes the organizational measures for Data Privacy Protection (DPP);;expert;Williams;;;uid89;;;;;Expert Path;uid90;uid88;;;
Expert Path;Advanced IAM;Data Privacy & Protection Expert;Subject Rights;;Video;video;90;01:06;Expert Data Privacy Protection Subject Rights;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/04-DataPrivacyExpert/08-DPP-SubjectRights.mp4;This lecture is about the subject rights;;expert;Williams;;;uid90;;;;;Expert Path;uid91;uid89;;;
Expert Path;Advanced Product Security Response;;Security Response Specialist;;Video;video;91;01:29;Expert PSRT Security Response;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/05-SecurityResponseSpecialist/psrt.mp4;This lecture describes the Product Security Response Team specialist (PSRT);;expert;Product Security Training;;;uid91;;;;;Expert Path;uid92;uid90;;;
Expert Path;Advanced Code Scan;Code Scan Expert;SLIN;;Video;video;92;01:06;Expert Code Scan SLIN;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/06-CodeScanExpert/CodeScan-SLIN.mp4;This lecture describes SLIN;;expert;Product Security Training;;;uid92;;;;;Expert Path;uid93;uid91;;;
Expert Path;Advanced Code Scan;Code Scan Expert;Coverity;;Video;video;93;01:48;Expert Code Scan Coverity;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/06-CodeScanExpert/CodeScan-Coverity.mp4;This lecture describes Coverity;;expert;Product Security Training;;;uid93;;;;;Expert Path;uid94;uid92;;;
Expert Path;Advanced Code Scan;Code Scan Expert;Fortify;;Video;video;94;02:54;Expert Code Scan Fortify;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/06-CodeScanExpert/CodeScan-Fortify.mp4;This lecture describes Fortify;;expert;Product Security Training;;;uid94;;;;;Expert Path;uid95;uid93;;;
Architect Path;Architecture;;Motivation;;Video;video;95;01:23;architecture principles overview;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/01-Architecture-Motivation.mp4;This is the Architecture module from the Awareness path. This lecture describes the architecture principles to take into account when designing a software;;beginner;Product Security Training;;;uid95;uid2;;;;Awareness Path;uid3;uid1;Architect Path;uid96;uid94
Architect Path;Architecture;;Secure Design;;Quizz;quizz;96;;Architecture Secure Design Quiz;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_24D334F61FA4E6AD;This is the Architecture module from the Awareness path. This quizz is about the importance of a secure architecture;;beginner;Product Security Training;;;uid96;uid4;;;;Awareness Path;uid4;uid2;Architect Path;uid97;uid95
Architect Path;Architecture;;Secure Design;;Video;video;97;00:33;architecture secure design;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/03-Architecture-Secure-Design.mp4;This is the Architecture module from the Awareness path. This lecture describes the importance of a secure architecture;;beginner;Product Security Training;;;uid97;uid3;;;;Awareness Path;uid5;uid3;Architect Path;uid98;uid96
Architect Path;Architecture;;Reasons;;Video;video;98;04:46;architecture reasons;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/04-Architecture-Reasons.mp4;This is the Architecture module from the Awareness path. This lecture describes the reasons for insecure applications;;beginner;Product Security Training;;;uid98;uid5;;;;Awareness Path;uid6;uid4;Architect Path;uid99;uid97
Architect Path;Architecture;;Reasons;;Quizz;quizz;99;;Architecture Reasons  Quizz;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_9F504A6738CD248A;This is the Architecture module from the Awareness path. This Quiz is about the reasons for insecure applications;;beginner;Product Security Training;;;uid99;uid6;;;;Awareness Path;uid7;uid5;Architect Path;uid100;uid98
Architect Path;Architecture;;Secure Application;;Video;video;100;01:16;architecture secure application;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/05-Architecture-Secure-Applications.mp4;This is the Architecture module from the Awareness path. This lecture describes how to build secure  application architectures.;;beginner;Product Security Training;;;uid100;uid7;;;;Awareness Path;uid8;uid6;Architect Path;uid101;uid99
Architect Path;Architecture;;Principles Index;;Video;video;101;00:20;architecture principles;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/06-Architecture-Principles-Index.mp4;This is the Architecture module from the Awareness path. This lecture provides an overview of the architecture principles.;;beginner;Product Security Training;;;uid101;uid8;;;;Awareness Path;uid9;uid7;Architect Path;uid102;uid100
Architect Path;Architecture;;Attack Surface;;Video;video;102;01:13;architecture attack surface;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/07-Architecture-Attack-Surface.mp4;This is the Architecture module from the Awareness path. This lecture describes how to minimize the attack surface.;;beginner;Product Security Training;;;uid102;uid9;;;;Awareness Path;uid10;uid8;Architect Path;uid103;uid101
Architect Path;Architecture;;Security by Obscurity;;Video;video;103;02:03;architecture security-by-obscurity;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/08-Architecture-Security-by-Obscurity.mp4;This is the Architecture module from the Awareness path. This lecture is about security by obscurity.;;beginner;Product Security Training;;;uid103;uid10;;;;Awareness Path;uid11;uid9;Architect Path;uid104;uid102
Architect Path;Architecture;;White list - 1;;Video;video;104;00:26;architecture white-list black-list;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/09-Architecture-WhiteLists.mp4;This is the Architecture module from the Awareness path. This lecture describes the concepts of whitelist vs blacklist.;;beginner;Product Security Training;;;uid104;uid11;;;;Awareness Path;uid12;uid10;Architect Path;uid105;uid103
Architect Path;Architecture;;White List - 2;;Video;video;105;01:13;architecture white-list black-list examples;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/10-Architecture-Whitelist-Examples.mp4;This is the Architecture module from the Awareness path. This lecture describes the concepts of whitelist vs blacklist.;;beginner;Product Security Training;;;uid105;uid12;;;;Awareness Path;uid13;uid11;Architect Path;uid106;uid104
Architect Path;Architecture;;Mediation;;Video;video;106;01:35;architecture mediation;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/11-Architecture-Mediation.mp4;This is the Architecture module from the Awareness path. This lecture is about ensuring that all access to the objects are checked;;beginner;Product Security Training;;;uid106;uid13;;;;Awareness Path;uid14;uid12;Architect Path;uid107;uid105
Architect Path;Architecture;;Cryptography;;Video;video;107;01:56;architecture cryptography;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/12-Architecture-Cryptography.mp4;This is the Architecture module from the Awareness path. This lecture provides an overview of cryptography.;;beginner;Product Security Training;;;uid107;uid14;;;;Awareness Path;uid15;uid13;Architect Path;uid108;uid106
Architect Path;Architecture;;Least Privilege;;Video;video;108;01:38;architecture least privilege;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/13-Architecture-LeastPriviledge.mp4;This is the Architecture module from the Awareness path. This lecture describes the least privilege principle.;;beginner;Product Security Training;;;uid108;uid15;;;;Awareness Path;uid16;uid14;Architect Path;uid109;uid107
Architect Path;Architecture;;Acceptance;;Video;video;109;01:04;architecture acceptance;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/14-Architecture-Acceptance.mp4;This is the Architecture module from the Awareness path. This lecture is about psychological acceptance factor for a secure architecture.;;beginner;Product Security Training;;;uid109;uid16;;;;Awareness Path;uid17;uid15;Architect Path;uid110;uid108
Architect Path;Architecture;;Secure Defaults;;Video;video;110;01:16;architecture secure defaults Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/02-Architecture/15-Architecture-Secure-Defaults.mp4;This is the Architecture module from the Awareness path. This lecture describes how to establish secure default parameters.;;beginner;Product Security Training;;;uid110;uid17;;;;Awareness Path;uid18;uid16;Architect Path;uid111;uid109
Architect Path;Architecture;;Quizzes;;Quizz;quizz;111;;Architecture Quiz;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_A68DF5AB55F89ABB;This is the Architecture module from the Awareness path. This is a quiz on security architecture.;;beginner;Product Security Training;;;uid111;uid18;;;;Awareness Path;uid19;uid17;Architect Path;uid112;uid110
Architect Path;Advanced Architecture;Threat Modeling;Overview;;Video;video;112;00:33;Expert Architecture Threat Modeling Overview;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/01-ThreatModeling-Overview.mp4;This is the Threat Modeling module from the Expert path. This lecture provides an overview of threat modeling;;expert;Johnson;;;uid112;uid58;;;;Expert Path;uid59;uid57;Architect Path;uid113;uid111
Architect Path;Advanced Architecture;Threat Modeling;What2Improve;;Video;video;113;01:33;Threat Modeling Expert Improve;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/02-ThreatModeling-What2Improve.mp4;This is the Threat Modeling module from the Expert path. This lecture describes what needs to be improved in term of security for software development.;;expert;Johnson;;;uid113;uid59;;;;Expert Path;uid60;uid58;Architect Path;uid114;uid112
Architect Path;Advanced Architecture;Threat Modeling;Objectives;;Video;video;114;00:35;Threat Modeling architecture Objectives;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/03-ThreatModeling-Objectives.mp4;This is the Threat Modeling module from the Expert path. This lecture describes the objectives of threat modeling.;;expert;Johnson;;;uid114;uid60;;;;Expert Path;uid61;uid59;Architect Path;uid115;uid113
Architect Path;Advanced Architecture;Threat Modeling;Environment - 1;;Video;video;115;01:08;Architecture Threat Modeling Environment;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/04-ThreatModeling-Environment-1.mp4;This is the Threat Modeling module from the Expert path. This lecture describes the environment of an product.;;expert;Johnson;;;uid115;uid61;;;;Expert Path;uid62;uid60;Architect Path;uid116;uid114
Architect Path;Advanced Architecture;Threat Modeling;Environment - 2;;Video;video;116;00:44;Architecture Threat Modeling Environment;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/05-ThreatModeling-Environment-2.mp4;This is the Threat Modeling module from the Expert path. This lecture describes the environment of an product.;;expert;Johnson;;;uid116;uid62;;;;Expert Path;uid63;uid61;Architect Path;uid117;uid115
Architect Path;Advanced Architecture;Threat Modeling;Synthesis;;Video;video;117;00:34;Architecture Threat Modeling Synthesis;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/06-ThreatModeling-Synthesis.mp4;This is the Threat Modeling module from the Expert path.This lecture provides a synthesis on threat modeling.;;expert;Johnson;;;uid117;uid63;;;;Expert Path;uid64;uid62;Architect Path;uid118;uid116
Architect Path;Advanced Architecture;Threat Modeling;Methodology;;Video;video;118;01:35;Architecture Threat Modeling Methodology;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/07-ThreatModeling-Methodologies.mp4;This is the Threat Modeling module from the Expert path. This lecture describes the thread modeling methodology;;expert;Johnson;;;uid118;uid64;;;;Expert Path;uid65;uid63;Architect Path;uid119;uid117
Architect Path;Advanced Architecture;Threat Modeling;Objectives;;Video;video;119;01:45;Architecture  Threat Modeling Objectives;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/08-ThreatModeling-SAPObjectives.mp4;This is the Threat Modeling module from the Expert path. This lecture describes the objectives wrt. threat modeling.;.wdf.sap.corp/wiki/display/PSSEC/SAP+Threat+Modeling+Methodology;expert;Johnson;;;uid119;uid65;;;;Expert Path;uid66;uid64;Architect Path;uid120;uid118
Architect Path;Advanced Architecture;Threat Modeling;Quizzes;;Quizz 1;quizz;120;;Architecture Threat Modeling Quiz;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_81960A14369E06BA;This is the Threat Modeling module from the Expert path. This is the 1st quiz on threat modeling.;;expert;Johnson;;;uid120;uid66;;;;Expert Path;uid67;uid65;Architect Path;uid121;uid119
Architect Path;Advanced Architecture;Threat Modeling;Quizzes;;Quizz 2;quizz;121;;Architecture Threat Modeling Quiz;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_C6078EE731BAE189;This is the Threat Modeling module from the Expert path. This is the2nd quiz on threat modeling.;;expert;Johnson;;;uid121;uid67;;;;Expert Path;uid68;uid66;Architect Path;uid122;uid120
Architect Path;Advanced Architecture;Threat Modeling;Quizzes;;Quizz 3;quizz;122;;Architecture Threat Modeling Quiz;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_A781445E9FC847A5;This is the Threat Modeling module from the Expert path. This is the 3rd quiz on threat modeling.;;expert;Johnson;;;uid122;uid68;;;;Expert Path;uid69;uid67;Architect Path;uid123;uid121
Completion Path;Certification;Motivation;Q-Day 2;;Video;video;123;09:06;Q-DAY overview Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Completion-Path/Certification/QDAY2.mp4;This is the follow'up of the QDAY-1 video from Dr. Smith. He is testing a soda machine.;http://www.cs.columbia.edu/~hthompson/bio.htm;beginner;Smith;;;uid123;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
