nom adhérent;icon;catégorie;adresse;latitude;longitude;téléphone;site web;activité;texte;mots clés;
FO-DESIGN;TV/pme/Fo-Design.png;TPE-PME;"149 Avenue des Mimosas 
06700 SAINT LAURENT DU VAR";43.664208 ;7.19584;04 93 19 00 20;www.fo-design.com;"EDIT-YOURSELF by Fo-design

Le sujet de travail de FO-Design repose sur une question simple : comment intégrer la production de documentation dans sa stratégie numérique ? à l'heure des restrictions de budget et de l'augmentation des missions de chaque personne à l'intérieur des offices, mettre en place une organisation efficace pour répondre à cette question est un enjeu important. C'est à cette problématique que répondent les applications de notre suite Ed'it Yourself :

gagner du temps sur les process de production
repenser les publications pour les mettre en adéquation avec la saisie dans les SIT
donner des solutions de réponses faciles et efficaces pour l'accueil
couvrir les différentes formes de lecture utilisées par les touristes : papier, internet, smartphone, tablettes

De nombreux organismes du tourisme utilisent déjà nos solutions partout en France, quel que soit leur SIT. Parmi eux, les Offices de Tourisme de Nice, Thônon-les-Bains, Baie de Morlaix, Vallée de Lascaux, Samoëns, Nyons, Gréoux-les-Bains, s'ajoutent à plus de 20 Comités Départementaux de Tourisme ainsi que plus de 45 relais des Gites de France.
Si le tourisme est la cible principale de notre activité, nos applications et notre savoir faire peuvent s'appliquer à toutes les entreprises ayant une problématique de publication de documentations à partir de données saisies dans des systèmes d'informations. La publication en réseau est aussi un champ d'application de notre savoir faire avec comme exemple “CCI DOC” une plateforme de documentation partagée par toutes les CCI de France";"EDIT-YOURSELF by Fo-design
Des technologies innovantes pour la publication, papier, web et tablettes à partir des Systèmes d'informations Touristiques (Sitra, Tourinsoft, Constellation, Ingénie, etc…)";Stratégie numérique, outils numériques, digital;
FRANCE LABS;TV/pme/France-labs.png;TPE-PME;"1 Boulevard Maître Maurice Slama 
06200 NICE";43.683329 ;7.202429;09 72 43 72 85;www.francelabs.com;Experte sur Solr et Elasticsearch, France Labs est également l'éditeur deDatafari, sa solution de recherche open source;Start-up innovante dans les moteurs de recherche pour entreprises;Moteurs de recherche;
GALITT;TV/pme/Galitt.png;TPE-PME;"17 route de la Reine 
92100 BOULOGNE-BILLANCOURT";48.838672 ;2.249647;01 77 70 28 00;www.galitt.fr;Sa dimension lui permet d'appréhender des projets d'envergure, tout en conservant la réactivité, l'encadrement et les motivations d'une structure à taille humaine. Galitt est la référence dans la mise en œuvre de technologies de paiement les plus avancées et la définition des architectures monétiques de demain;Galitt propose un ensemble de métiers et de savoir-faire complémentaires et reconnus pour assister ses clients sur tout le cycle de vie des projets et sur la totalité des composants de la chaîne de valeur du paiement;Paiement;
GRIDPOCKET SAS;TV/pme/Gridpocket.png;TPE-PME;Business Pôle - 1047 route des Dolines 06901 SOPHIA ANTIPOLIS;43.627082;7.0409;04 89 86 69 20;www.gridpocket.com;"The solutions of GridPocket include innovative mobile Internet applications for electrical energy consumption management, demand control software, CRM and experts systems. GridPocket distributes its applications through partnerships with energy distributors, ESCOs (energy saving companies), equipment manufacturers and utilities worldwide. GridPocket's applications enable end-users to take full control over their energy spending, and reduce their CO2 emissions.
The key benefits of the GridPocket energy solutions include:

Savings in consumer's electricity bills
Reduction of CO2 emissions for end-users and utilities
Customer loyalty tool reducing churn for electric utilities
Services revenue streams for energy professionals";GridPocket is the first company to focus excusively on development of Value Added Services for the SmartGrid;Données d'énergie, SmartGrid;
HIGHLANDS TECHNOLOGIES SOLUTIONS;TV/pme/HTS.jpg;TPE-PME;"1900, route des Crêtes 
BP 298 
06560 SOPHIA ANTIPOLIS";43.627592 ;7.043283;04 92 95 42 80;www.h-t-solutions.com;;Highlands Technologies Solutions (HTS) est spécialisée dans la création de solutions innovantes pour l'industrie du cinéma, pour étendre et repousser les limites des équipements existants de cinéma numérique.;Cinéma numérique, 3D;
INNOVATION SANTE CONSEIL;TV/pme/Actis-innovation.jpg;TPE-PME;"79G Chemin de Roustagnon 
Les Bastides de Roustagnon
83150 BANDOL";43.141787 ;5.731633;;www.actis-innovation.com;"Orientés numérique et nouveaux Usages, nous sommes engagés dans tous les domaines qui font l'Innovation pour le citoyen, avec pour enjeu principal d'apporter notre contribution aux grands défis Sociétaux en Santé et Social portés par la “Silver Economie” : Le Vieillissement, la Perte d'Autonomie, le Prendre Soin, le Handicap, les Maladies Chroniques, les Accidents de la Vie, l'Hospitalisation à Domicile, …
Associant l'informatique et la Santé pour l'Autonomie, Innovation Santé Conseil (ACTIS-Innovation) est le leader des Gérontechnologies pour le Sud de la France.
Notre offre de service d'assistance technique et de maintenance informatique couvre également le Support Niveaux 1, 2 et 3 et la surveillance de l'Exploitation de Parcs Informatique, Bureautique, Système ou d'Impression, ces prestations étant effectuées la plupart du temps sur les sites de nos Clients avec des techniciens et Ingénieurs dédiés.
En complément depuis 2010, Innovation Santé Conseil (ACTIS-Innovation) a mis en place un centre de support régional (helpdesk), permettant la gestion, la coordination et la résolution, aussi rapidement que possible, de tout dysfonctionnement signalé par nos Clients, en relation directe avec les utilisateurs, correspondants informatiques et services support de nos Clients
Notre offre de Consulting et d'Assistance à Maîtrise d'Ouvrage s'adresse aux Communes, Métropoles et collectivités territoriales, Etablissements Hospitaliers, associations de professionnels de Santé, Centres Nationaux, CCAS, EHPAD, autour des problématiques de redynamisation des territoires ruraux, de prévention de la dépendance, de compensation du Handicap et de la perte d'Autonomie, et d'une manière générale de l'urbanisation de Systèmes d'Informations.
Innovation Santé Conseil est aujourd'hui reconnue pour son expertise en Santé et Autonomie et sa participation à la définition de l'EHPAD du Futur, intégrant l'innovation et la domotique au service du bien vieillir, pour son savoir-faire en formation et accompagnement à la définition de Projets de Vie, du Prendre Soin en Médico-Social (Humanitude), et des 5 axes de l'évaluation d'un établissement d'hébergement pour personnes âgées, et plus globalement pour sa forte intégration dans les réseaux d'acteurs du domaine TIC & Santé en France.
Cet ancrage fort dans les GéronTechnologies (ou comment allier Technologies de l'Information et de la Communication au service des nouveaux usages en Santé pour prévenir la Dépendance ou compenser la perte d'Autonomie et le Handicap) est complété par notre engagement sur les SA2S : les Services Avant et Après Soins en lien avec les TIC et outils de la e-Santé, et la mise en oeuvre des liaisons et interfaces avec les Systèmes d'Information Hospitaliers tels que les DPI et DMP.
Enfin, Innovation Santé Conseil est acteur de la Silver Economie sur les thématiques de la Santé à Domicile et de l'Autonomie et avons participé aux côtés du CNR Santé à la mise en place du Comité de Filière de la Silver Economie fin 2013, faisant de notre entreprise un acteur de cette filière industrielle soutenue par le Gouvernement Français";Innovation Santé Conseil (ACTIS-Innovation) est une Entreprise de Services du Numérique (ESN) du Sud de la France dédiée à l'innovation en Santé et au Conseil dans le Secteur Public;Innovation, e-Santé, Conseil, Audit;
INSTANT SYSTEM;TV/pme/Instant-system.jpg;TPE-PME;"Business Pôle A 
1047 route des Dolines
Allée Pierre Ziller 
06560 VALBONNE";43.627082;7.0409;04 89 86 69 66;www.instant-system.com;"INSTANT system applique le principe du GPS AUTOMOBILE aux différents moyens de transport que sont les trains, bus, tramway et autres modes de déplacement disponibles. Véritable compagnon de mobilité, la solution GUIDE le voyageur pas à pas, y compris sur les trajets piéton et lui donne accès à une communauté de covoiturage.

Notre plate-forme logicielle CENTRALISE l'ensemble des données mobiles fournies par les systèmes informatiques régulant les transports urbains et inter-urbains. Le CALCUL D'ITINÉRAIRE temps-réel et multimodal, en intégrant les avances/retards, perturbations et déviations, propose l'itinéraire le plus RÉALISTE possible.

Grace à une PERSONNALISATION et des mécanismes D'APPRENTISSAGE inédits l'application propose des solutions de déplacement adaptées au voyageur et les présente de manière SIMPLE ET INTUITIVE : modes de transport utilisés, vitesse de marche, handicaps visuels, cognitifs ou moteur.";Instant System développe une plateforme de mobilité intelligente.;Logiciels, Mobilité;
IPKEROS;TV/pme/Ipkeros.jpg;TPE-PME;"400 Avenue de Roumanille 
06906 SOPHIA ANTIPOLIS";43.622255 ;7.075749;04 93 00 11 90;www.ipkeros.com;"IPKEROS développe et dispense des formations et transferts de compétences spécialisés en réseaux et télécoms (Commutation Ethernet, Routage IP, Sécurité, Technologies sans  fil, IPv6, QoS, Voix, Téléphonie  et Vidéo sur IP, Communications Unifiées, Datacenter, Cloud Computing, SDN, Big Data …).
Dans un soucis d'efficacité et afin de répondre à vos contraintes de temps et de budget nous développons des formations de courtes durées ( 2 à 3 jours), pragmatiques, qui sont en adéquation avec l'évolution technologique et la réalité des entreprises.
Tous les sujets que nous couvrons peuvent être adaptés à vos besoins dans le cadre de formation intra entreprise.";Formations – Transferts de compétences – Accompagnement de projets en réseaux et télécoms (Infrastructures réseaux, Sécurité, Datacenter, Télécoms NGN, Multimédia IP…);Formation, Réseaux, Communication IP;
IQSIM;TV/pme/IQSIM.jpg;TPE-PME;"Les Algorithmes Aristote A2000 
Route des Lucioles 
06410 BIOT";43.616523 ;7.064126;04 97 04 19 32;www.iqsim.com;;iQsim a été créée en Avril 2009 par un groupe d'anciens salariés de QuesCom afin de devenir leader sur les technologies de SIM virtuelle et les plateformes de gestion de carte SIM (communément appelées SIM Server).;Carte SIM, virtualisation;
ITBRM CONSULTING;TV/pme/ITBRM.png;TPE-PME;"45 chemin du Cabanon 
06740 CHATEAUNEUF";43.68114 ;6.975201;04 83 59 80 21;www.amarrelo.com;"Société de conseils autour des outils de la relation client.

Partenaire certifié SALESFORCE.COM nous vous accompagnons dans vos projets CRM et Marketing";Gestion de la relation client et partenaire de Salesforce.com;CRM, Logiciels;
IZYPEO;TV/pme/izypeo.png;TPE-PME;"Business Pôle – Bât, B Entrée A 
1047 Route des Dolines
Allée Pierre Ziller 
06560 SOPHIA ANTIPOLIS";43.627082;7.0409;;www.izypeo.com;"Ainsi, nos clients bénéficient :

De fonctions facilitatrices de collecte ;
De véritables outils d'aide à la décision permettant la mise en place et le suivi de plans d'actions ;
De tableaux de bord environnementaux permettant le suivi des indicateurs;
D'options de reporting permettant de répondre à la réglementation mais aussi de vous accompagner dans la mise en place de rapports destinés à vos directions;

Izypeo® possède une forte expertise dans l'édition de logiciels. Celle-ci est mise à contribution pour proposer aux organisations des solutions innovantes en faveur du développement durable. Notre gamme de logiciels couvre quatre domaines essentiels du développement durable:

Le pilotage du CO2
Le suivi énergétique (tous types de fluide)
La maîtrise QHSE
Le management de la RSE

L'innovation fait partie de l'ADN de la société Izypeo®, à ce titre la société possède le statut de JEI (Jeune Entreprise Innovante).

Par ailleurs, Izypeo® est soutenue par l'Incubateur Telecom Paris-Tech et par la pépinière de la CASA. Le caractère innovant des projets que nous développons nous permet également d'avoir le soutien de la région PACA et de l'ADEME. De plus, Izypeo® est membre de CAP ENERGIES et de l'association Telecom Valley. Enfin, nous sommes soutenus par le fond 3T Capital, société de capital-risque spécialisée dans le financement d'entreprises innovantes, et BPI France.

Pour plus d'informations, n'hésitez pas à prendre contact avec nous";Izypeo® propose des solutions logicielles pour la démarche environnementale et sociétale des organisations publiques et privées. Izypeo® apporte une réelle valeur ajoutée à ses clients en leur proposant des outils simples et ergonomiques accessibles 24H/24 grâce à une connexion internet.;Solutions logicielles, Pilotage;
JAGUAR NETWORK;TV/pme/jaguar.png;TPE-PME;"71 avenue Roussin 
BP50067 
13321 MARSEILLE CEDEX 16";43.359822 ;5.337878;04 88 00 65 10;www.jaguar-network.com;"Créée en 2001, la société continue à étoffer son offre d'hébergement et devient Opérateur télécom en obtenant la licence L 33.1 délivrée par l'ARCEP. Disposant dès lors d'un réseau national en fibre optique interconnectant ses DataCenters, Jaguar Network vous fournit les ressources techniques et les services d'un prestataire reconnu pour son expertise sur le marché de l'infogérance.

Aujourd'hui, Jaguar Network est en mesure de couvrir la quasi totalité de vos besoins en terme d'hébergement, qu'ils soient sur serveurs mutualisés, serveurs dédiés ou en virtualisation, mais aussi en terme de stockage sécurisé au travers de fermes de disques synchronisées.

Enfin, les services d'interconnexion de Réseaux, d'accès internet professionnel couplés aux nécessaires périphériques que sont les Firewall , la messagerie, l'anti Spam, etc… sont l'aboutissement de notre offre qui vient conforter notre position de Challenger, position maintenant largement reconnue dans le monde des Télécommunications.

Forte de son expérience en matière de services à Très Haute Disponibilité, Jaguar Network a enrichi son panel de services afin de satisfaire de façon plus complète les attentes de ses clients. Avec pour leitmotiv l'intolérance à la panne, Jaguar Network répond à un marché très demandeur de Haute Disponibilité";"Un réseau Très Haut Débit de dernière génération.
Une vingtaine de salles blanches de type Tiers 3+ / 4.
Des solutions d'hébergement de plateformes dédiées, virtualisées, mutualisées.
Un service CDN (plateforme de diffusion de médias statiques)Des solutions de IP Transit, Accès Internet dédié, Routage statique et BGP, Messagerie,…
Des solutions de stockage NAS/SAN, BackupUne Offre VPN MPLS pour l'interconnexion à haut débit de vos sites";Accès Internet, Cloud, Hébergement cloud privé, Hébergement SaaS, Sécurité, Téléphonie IP;
JANUA;TV/pme/Janua.jpg;TPE-PME;"Drakkar 2 
2405 route des Dolines 
06 560 Sophia-Antipolis";43.625617 ;7.048342;04 89 82 92 38;www.janua.fr;"Société de consulting et de services en logiciels libres (SS2L) fondée en 2004 à Sophia Antipolis ( Alpes-Maritimes, Paca )
Notre métier : l'Expertise
Notre crédo : l'l'Expertise et gestion des identités numériques.
Notre approche : Développement au forfait à l'aide de méthodologies “agiles”, les solutions packagées et les maquettes (POC).";Janua est une société de service et d'intégration qui se propose de vous accompagner vers le monde des logiciels libres et de la gestion des identités numériques;Gestion des identités, Open Source;
KABIA;TV/pme/Kabbia.jpg;TPE-PME;"13 Avenue Vismara 
06100 NICE";43.725503 ;7.263307;;www.kabia.eu;;;Hébergement cloud computing, Téléphonie IP, Réseaux, Sécurité;
KELOÏS;TV/pme/Kelois.jpg;TPE-PME;"Centre MBE 70 
2, bis Avenue Durante 
06000 NICE";43.70058 ;7.262373;;www.kelois.com;;Keloïs est une société d'informatique délivrant des prestations TIC sur-mesure à destination des PME leur garantissant simplicité, évolutivité et productivité de leur système d'information.;Audit, infogérance, analyse, conseil;
LUDOTIC;TV/pme/ludotic.png;TPE-PME;"Nice Europe N°522
Bat B 5e étage
29 Rue Pastorelli 
06000 NICE";43.70047 ;7.270976;09 51 14 73 66;www.ludo-tic.com;"Compétences et techniques haut de gamme : cabinet d'experts en ergonomie multimédia, psychologie cognitive, e-learning, méthodologie de la recherche expérimentale, LudoTIC maîtrise des techniques de pointe comme l'analyse des mouvements oculaires. Une expertise unique, mise en valeur par le Marquis Who's who in the World, qui cite Teresa Colombi depuis 2007.
Une spécialisation sans comparaison : nous sommes également le premier cabinet d'ergonomie spécialisé dans les jeux vidéo et les interfaces ludo-éducatives";Depuis 10 ans, LudoTIC accompagne vos projets pour des interfaces ergonomiques et centrées utilisateurs;;
M2I FORMATION;TV/pme/m2information.png;TPE-PME;"Marco Polo A1
790 avenue du docteur Maurice Donat
06250 MOUGINS";43.602332 ;7.006491;04 92 28 06 38;www.m2iformation.fr;Centre de formation en IT et management pour les professionnels, dans le cadre de la formation continue.;Centre de formation en IT et management pour les professionnels, dans le cadre de la formation continue.;Formation;
METCH CONSULTING;TV/pme/metch_consulting.jpg;TPE-PME;"455, Promenade des Anglais 
06200 NICE";43.667479 ;7.21377;04 93 71 92 82;www.metch-consulting.fr;"La cohérence entre la stratégie de l'entreprise et la dynamique de ses équipes est l'une des clés de l'adaptation de l'entreprise à son nouvel environnement.
Pour renforcer la dynamique collective et individuelle des équipes, nous privilégions une approche globale basée sur l'accompagnement de l'ensemble des acteurs de l'entreprise.
les dirigeants et leurs équipes
les managers
les équipes opérationnelles
Conçues sur mesure pour servir nos entreprises clientes avec efficience, nos prestations de conseil et d'accompagnement sont conduites par des consultants reconnus pour leur expertise et partageant nos valeurs d'intégrité.
Nos prestations au sein de l'entreprise s'articulent autour de
5 thèmes majeurs :
Conseil & Accompagnement des hommes et des équipes
Formation des managers
Coaching individuel et coaching d'équipe
Ingénierie des organisations et des compétences
Recrutement et évaluation de l'encadrement";METCH Consulting est un cabinet de conseil en Management et en Ressources Humaines spécialisé dans le développement et l'accompagnement des managers et de leurs équipes.;Consulting, audit, management, Ressources Humaines;
MILANAMOS;TV/pme/Milanamos.png;TPE-PME;"1093 chemin des Plateaux Fleuris
06700 SAINT LAURENT DU VAR";43.671648 ;7.178384;04 22 46 00 70;www.milanamos.com;;Editeur de logiciel : Prévisions de trafic et de recette pour les acteurs du transport public de passagers. Planification et optimisation des ressources;Logiciels, Big Data, données prédictives;
MONUMENT TRACKER;TV/pme/Monument-tracker.png;TPE-PME;"25, avenue du Grand Pin 
06400 CANNES";43.561004 ;7.025989;06 74 38 49 03;www.monument-tracker.com;Depuis 2010 nous avons développé de nombreuses applications pour le tourisme culturel, ayant pour objet principal la géolocalisation et le renseignement de monuments et de sites historiques. Si nos guides culturels ont déjà été adoptés par plus d' 1 million d'utilisateurs, c'est parce que nous avons depuis le départ, fourni un contenu pertinent et adapté à leurs attentes, 100% culturel et sans publicité avec le soucis permanent d'améliorer leur expérience de voyage. Nous avons notamment remporté le concours européen « Creative and Innovative Heritage Enhancement » dans le cadre du projet « Imagina Atlantica » en 2012 et plus récemment, le Prix Tourisme au Printemps Numérique à Paris en 2013.;Société éditrice de guides touristiques fun et interactifs pour Smartphones;Tourisme;
NOMIA CONSEILS;TV/pme/nomia-conseils.jpg;TPE-PME;"37-41 Boulevard Dubouchage 
06000 NICE";43.700732 ;7.269205;07 64 08 09 46;www.nomia-conseils.fr;;Conseil en Propriété Industrielle;Conseil;
OTHIS FORMATION;TV/pme/Othis-Formation.jpg;TPE-PME;"ZI Carros – 1ère rue, 18 avenue 
06510 CARROS";43.810908 ;7.183523;04 93 07 87 38;www.othis-formation.com;;Organisme de formation sécurité et santé au travail – Compétences métiers industrie, logistique, BTP, électricité – Compétences RH;Formation;
OUAZ Scroll & Find;TV/pme/Ouaz.png;TPE-PME;"35, avenue Aimé Bourreau 
06160 ANTIBES JUANS-LES-PINS";43.565674 ;7.134211;;www.ouazapp.com;CRISTAL est une jeune start-up qui développe une application pour mobile. Son nom est “OUAZ” et elle a pour vocation de proposer des idées de sorties en fonctions de vos préférences et de votre géolocalisation.;Ouvert à tous, des plus jeunes aux plus âgés, OUAZ permet de trouver tous les événements autour de soi, que ce soit le concert d'une super star du show-biz ou le match amical des villages avoisinants !;Application, Géolocalisation;
PARKEGO;TV/pme/parkego.png;TPE-PME;"CEEI Nice Premium 
1 Bd Maitre Maurice Slama 
06200 NICE";43.683329 ;7.202429;09 72 47 58 41;www.parkego.com;Nous voulons créer de la valeur pour notre communauté en les aidant à redéployer des ressources sous-utilisées et faciliter la mobilité urbaine. Un réseau collaboratif de places de stationnement est la pièce centrale de cette solution. De là, viennent les avantages économiques, sociaux et environnementaux pour tous, et une société entreprenairiale où l'innovation axée sur la collectivité est la norme;parkego.com estime que le stationnement urbain est une partie intégrante du défi de la mobilité. Le partage de ressources et des coûts peuvent ainsi contribuer à débloquer le statu quo et améliorer la mobilité;Stationnement intelligent;
PIROTEKNIKS;TV/pme/pirotekniks.jpg;TPE-PME;"537, route de la Baronne 
06700 ST LAURENT DU VAR";43.703523 ;7.177974;09 54 58 39 55;www.pirotekniks.com;"Pas de superlatifs, pas de points d'exclamation, pas de péroraisons et de grandes phrases inutiles. On ne vous vend pas du rêve et on ne vous garantit pas la lune.
Parce qu'on ne va pas mentir pour vous vendre de la soupe, ou vous faire croire que grâce à nous vous entrerez au Nasdaq et que votre entreprise vaudra 10 fois plus.
Ce que nous faisons, par contre, c'est vous fournir ce dont vous avez besoin.
Identité et charte graphique
Papeterie et outils de communication
Contenus et discours de marque
Planning éditorial et stratégie de communication
Illustrations et photographies
sites web";Pirotekniks est une petite agence qui propose à ses clients autre chose que des mots et des promesses.;Marketing, design, photographie, stratégie;
PLANET CONSULTANT;TV/pme/PLANET-ASSISTANT.png;TPE-PME;"100, chemin de l'aumône vieille actiburo 2a 
13400 AUBAGNE";43.28498 ;5.522925;04 91 19 00 10;www.planet-consultant.com;"Proche des Directions des grandes entreprises, de ses clients par ses agences et leurs commerciaux réactifs prés des centres de décision ; améliore la performance du SI grâce à son expérience de multi spécialiste et en répondant aux enjeux et compétitivité de ses clients.";Son offre s'articule autour des 3 métiers principaux que sont : le Conseil, l'Ingénierie et l'Infrastructure.;Ingéniérie;
QENVI;TV/pme/qenvi-logo.jpg;TPE-PME;"174 Allée de la Trache 
06370 MOUANS SARTOUX";43.629518 ;6.973979;04 92 92 07 74;www.qenvi.com;"Accompagnement ISO9001, TS16949, EN9100, AQAP, ISO14001, CMMI, ISO20000
Accompagnement LEAN manufacturing / office : VSM, 5S, MUDA, SMED, KANBAN, SCRU, 6sigma
Réalisation Document Unique et intégration OHSAS18001
Audits internes (IRCA)
Formation ISO, audits internes, LEAN, AMDEC, statistiques (SPC), tableaux de bord, conduite de réunions, projets, gestion du temps
Intégration outils IT open source pour support des démarches qualité : CRM, GED, projets collaboratifs, PLM link";Conseil et accompagnement en Qualité, intégration outils open source;Open Source;
RICARDO France;TV/pme/RICARDO-France.png;TPE-PME;"1800, route des Crêtes
 06560 VALBONNE SOPHIA ANTIPOLIS";43.628412 ;7.041903;04 92 98 87 34;www.ricardo.ch;Portail e-Commerce;Développement et maintenance du premier portail de eCommerce en Suisse.;e-commerce;
RIVIERAWARE;TV/pme/RivieraWare.jpg;TPE-PME;"5 rue Soutrane 
06560 Sophia Antipolis";43.623651 ;7.046706; 04 22 13 20 08;www.rivieraware.com;;RivieraWare est une société se focalisant sur le développement d'applications métiers pour les entreprises (CRM, gestion commerciale, gestion de facturations récurrentes des abonnements, comptabilité, gestion de tickets incidents) et sur l'intégration de services de télécommunications;CRM, Logiciels;
SAFE SOLUTION ICT;TV/pme/SAFE SOLUTION.png;TPE-PME;"2000 Route des Lucioles 
Les Algorithmes Aristote A 
06410 BIOT";43.61615 ;7.066475;04 93 95 52 66;www.safesolution.co;"Fondée par des experts en TIC, avec des dizaines d'années d'expérience dans les technologies de l'information et la communication, et comprenant que le monde devient mobile, SAFE SOLUTION ICT a l'ambition d'apporter la richesse de l'information et de la communication mobile aux peuples du monde.
Notre objectif est de servir les populations des pays développés et des pays émergents en comblant le fossé numérique, afin d'assurer aux personnes défavorisées une amélioration importante dans leur niveau de vie et de permettre aux personnes plus favorisées un style de vie encore plus pratique.
Notre premier produit est une plate-forme de Services Financiers Mobiles qui est beaucoup plus qu'un porte-monnaie mobile et un outil de m-paiement, qui  utilise les diverses capacités des TIC mobiles.
En préparation, nous avons une plate-forme m-gouvernement, qui rendra les organismes gouvernementaux plus efficaces, en faisant profiter les entreprises et les citoyens des services gouvernementaux par le biais des TIC mobiles.
La réalisation de la vision d'Innovation-TIC est basée sur la combinaison multinationale de l'excellence, qui combine le savoir-faire et la créativité de l' Europe, du Moyen-Orient et de l'Afrique, afin d'offrir une expérience unique dont nos clients bénéficient par l'utilisation de notre plate-forme";m-monnaie, m-marketing, m-gouvernement.;m-monnaie, m-marketing, m-gouvernement.;
SCITY;TV/pme/Scity.png;TPE-PME;"400 chemin de Rabiac Estagnol – Bât B 
06600 ANTIBES";43.587519 ;7.106434;;www.scity.coop;;Société de l'Economie Sociale et Solidaire membre du réseau des SCOP. Scity met en place des projets d'innovation numérique à plus value sociale et environnementale.;Smart city, Numérique, Mobilités, InnovationSociale, Environnement, ESS ;
SECLUDIT;TV/pme/secludit.png;TPE-PME;"1047 route des Dolines
06560 SOPHIA ANTIPOLIS";43.627082 ;7.0409;04 89 86 69 18;www.secludit.com;"Fondée pour développer et mettre à la portée de tous le premier système d'alarmes de sécurité automatisé du Cloud, la société SecludIT est devenue un acteur mondialement reconnu :
Membre fondateur du Cloud Security Alliance en 2009
Partenaire technologique de Amazon Web Services, HP Cloud, VMware, Numergy
Membre du consortium “Secured Virtual Cloud” financé par l'état français
Vainqueur des prix";SecludIT est une société privée française créée par des experts de la sécurité venant du monde des réseaux de l'infrastructure et des données.;Cloud, Sécurité;
SOFT METHOD ENGINEERING;TV/pme/soft_method_engineering.jpg;TPE-PME;"World Trade Center 
06905 SOPHIA ANTIPOLIS";49.21444 ;-0.349421;;www.soft-method.com;"Nous vous aidons à implémenter de manière pragmatique et efficace les méthodes et standards suivants dans vos propres projets :
-SCRUM/ Gestion de Projet Agile
-eXtrem Programming/ Ingénierie de Développement Agile
-CMMI
-Project Management, Risk Management
Nous avons l'expérience de travailler aussi bien avec des :
-Start-up ayant besoin d'un retour sur investissement maximal avec faible investissement,
-Qu'avec de grands groupes internationaux sur des projets complexes répartis sur plusieurs continents (USA, Inde, Chine, Europe)
Accompagnement à certification pour toutes tailles d'entités et projets de toutes complexités
Coaching de haut niveau de vos chefs de Projets :
-Nous faisons monter en maturité vos chefs de projets juniors ou seniors
-50% de nos opérations se font avec des très gros projets en appui de chefs de projets déjà certifiés PMI, à qui nous allons apporter les clés du succès d'un projet de développement d'envergure.";SOFT METHOD est un cabinet de conseil spécialisé en méthodologie logiciel depuis plus de 15 ans 100% orienté résultats (voir nos références et témoignages);SCRUM, Formation;
SOFTEAM CADEXTAN;TV/pme/softeam-cadextan.jpg;TPE-PME;"300, Route des Crêtes 
06901 SOPHIA ANTIPOLIS CEDEX";43.623293 ;7.032473;04 93 00 60 70;www.softeam.fr;"Expertise Métiers :
leader sur les métiers de la Finance, société de référence dans le domaine de la Banque et de l'Assurance, spécialiste reconnu sur les domaines du Web, des Médias, des Services.
Expertise Technique et Méthodologique :
Spécialiste mondialement reconnu des technologies orientées objets, des architectures orientées services, du développement agile, membre d'organismes internationaux comme l'Object Management Group, l'Open Group, le Project Management Institute";SOFTEAM Cadextan est une société de Spécialistes qui apporte une double expertise pour construire des solutions à forte valeur ajoutée pour ses clients;Expertise technique, architetcures logicielles;
SUPRALOG;TV/pme/Supralog.png;TPE-PME;"2203 Chemin de Saint Claude
Le Chorus Nova Antipolis 
06600 ANTIBES";43.599016 ;7.10364;04 93 74 66 66;www.supralog.com;"Convaincus que la réussite de tels projets ne dépend pas uniquement de la technologie, mais aussi de l'ingéniosité et de l'esprit d'innovation des hommes, SUPRALOG encourage chaque jour la créativité, l'originalité, l'initiative et l'approfondissement de compétences de ses équipes.
Ainsi, les collaborateurs de SUPRALOG contribuent-ils, par leurs missions de conseil, d'élaboration ou d'optimisation de systèmes d'information, à la performance économique de leurs clients.";Cabinet de conseil spécialisé en systèmes d'information créé en 1997, SUPRALOG guide les entreprises dans leur projet de transformation de système d'information, depuis la définition des stratégies jusqu'à leur réalisation, au travers d'une gamme complète de prestations organisées en 3 « practices » : Progiciel, Conseil, Technologie;Technologie, progiciel, Conseil;
TANCO & CO;TV/pme/Tanco-co.jpg;TPE-PME;"432 Route de Chateauneuf 
06390 CONTES";43.807681 ;7.310404;06 20 36 16 59;www.tanco.fr;"Champs de compétences
Informatique : assistance, installation, maintenance matérielle & logicielle sur site / Sauvegardes sécurisées.
Développement de logiciels & systèmes de sécurité intelligents.
Vente & Intégration d'alarme anti-intrusion, contrôle d'accès et de vidéoprotection.
Conseil, audit & assistance à maîtrise d'ouvrage en sécurité numérique.
Réseau, communication & Web ( hébergement, administration serveur & infogérance ).
Tanco & Co propose aussi un CRM généraliste puissant et convivial développé par ses soins.";"Tanco & Co installe et développe des systèmes de sécurité informatiques innovants & performants. 
Nous proposons de la vidéosurveillance 4k supervisée. 
Nos solutions connectées vous garantissent une continuité de service en temps réel";Assistance, installation, formation, maintenance matérielle & logicielle, Conseil en stratégie digitale, audit et assistance à maîtrise d'ouvrage, systèmes de sécurité, d'alarme, contrôle d'accès et de vidéoprotection,    développement logiciel & matériel, Réseau, communication & Web, Domotique & Home Cinéma.;
